Clinic,Address,City,St,Zip,Website,Phone,Phone2
A Capital Women's Health Clinic,"1511 Starling Drive, Henrico",Richmond,VA,23229,http://capitalwomenshealth.com,(804) 754-1569,
A Preferred Women's Health Center-Charlotte,3220 Latrobe Dr.,Charlotte,NC,28211,http://apwhc.com,(888) 562-7415,
A Preferred Women's Health Center-Raleigh,1604 Jones Franklin Rd.,Raleigh,NC,27606,http://apwhc.com,(888) 562-7415,
"A Preferred Women's Health Center, Augusta",2903 Professional Pkwy.,Augusta,GA,30907,http://apwhc.com,(888) 562-7415,
"A Preferred Women's Health Center, Forest Park",519 Forest Parkway,Forest Park,GA,30297,http://apwhc.com,(888) 562-7415,
A Tidewater Women's Health Clinic,891 Norfolk Sq.,Norfolk,VA,23502,http://hyourchoice-va.com,(757) 461-0011,
A Woman's Choice of Charlotte,421 N. Wendover Road,Charlotte,NC,28211,https://www.awomanschoiceinc.com/awc-charlotte,(704) 367-2255,
A Woman's Choice of Greensboro,2425 Randleman Rd.,Greensboro,NC,27406,https://www.awomanschoiceinc.com/awc-greensboro,(844) 219-7668,
A Woman's Choice of Jacksonville,4131 University Blvd. South,Jacksonville,FL,32216,http://awomanschoiceinc.com,(904) 448-8877,(800) 298-8874
A Woman's Choice of Raleigh,3305 Drake Circle,Raleigh,NC,27607,https://www.awomanschoiceinc.com/awc-raleigh,(919) 781-6934,(800) 540-5690
A-All Women Care,7908 West Sahara Avenue,Las Vegas,NV,89117,http://lvgyn.com,(702) 531-5400,
A-Z Women's Center,1670 East Flamingo Rd.,Las Vegas,NV,89119,http://drramos.com,(702) 892-0660,
Acacia Women's Center,1615 E Osborn Road,Phoenix,AZ,85016,https://abortionclinicsarizona.com/,(602) 462-5559,
Access Health Center,1799 75th St.,Downers Grove,IL,60516,http://AccessHealthCenter.net,(630) 964-0000,(800) 244-0552 (IL)
Advantage Health Care,203 E. Irving Park Rd.,Wood Dale,IL,60191,http://AdvantageHealthCareLtd.com,(630) 595-1515,(888) 795-1515
Affiliated Women's Medical Services,1428 North Farwell Ave.,Milwaukee,WI,53202,http://affiliatedmedicalservices.com,(414) 278-0424,(800) 498-0424
Alabama Women's Center for Reproductive Alternatives,4831 Sparkman Drive NW,Huntstville,AL,35810,http://alabamawomensclinic.com/,(256) 536-2231,
Alamo Women's Reproductive Services,7402 John Smith Drive,San Antonio,TX,78229,https://www.alamowomensclinic.com/,(210) 614-4742,
"Alamosa (Planned Parenthood of the Rocky Mountains, Inc.)",1560 12th Street #7,Alamosa,CO,81101,http://pprm.org,(719) 589-4906,
Albany Health Center (Upper Hudson Planned Parenthood),855 Central Ave,Albany,NY,12206,https://uhpp.org,(518) 434-5678,
Alhambra Health Center (Planned Parenthood of Pasadena and the San Gabriel Valley),330 S Garfield Ave.,Los Angeles,CA,90041,https://pppsgv.org,(626) 798-0706,
All Families Health Care,737 Spokane Avenue,Whitefish,MT,59937,https://www.allfamilieshealth.org/,(406) 730-8682,
All Women's Care,9730 3rd Ave NE,Seattle,WA,98115,http://seattleabortion.com,(206) 985-9553,(888) 949-6636
"All Women's Health Center of Gainesville, Inc.",1135 NW 23rd Ave,Gainesville,FL,32609,http://floridaabortion.com,(352) 378-9191,(800) 869-0440
